date,nq_log_return,nq_log_range,nq_body_log,nq_upper_wick_log,nq_lower_wick_log,nq_vol_5d,nq_vol_10d,vxn_log_close,vxn_log_range,vxn_log_return,day_of_week,target
2005-06-28,0.009898950670185869,0.00940523033529761,0.005290323519155038,0.0026677909388856946,0.001447115877256877,0.00875201656026545,0.0066757980651270185,2.697326248021437,0.06288909112817453,-0.05824343994743497,1,0.007331321953170544
2005-06-29,-0.002987335955764614,0.007331321953170544,-0.0051988247205807525,0.0005422441663442967,0.001590253066245495,0.00867653251728708,0.006513795587321118,2.671386219368722,0.04375266418683177,-0.025940028652715164,2,0.01150139717874854
2005-06-30,-0.0070655883878432135,0.01150139717874854,-0.008998440892344028,0.0021144842225684357,0.00038847206383607613,0.0077491498162501225,0.006228239366404787,2.671386219368722,0.058736364965946475,0.0,3,0.0081626297984565
2005-07-01,-0.002003981961485657,0.0081626297984565,-0.004344697385662677,0.003287752881524497,0.0005301795312693258,0.0065378357448410175,0.006128508159338092,2.6581594635674883,0.03742058124170189,-0.013226755801233558,4,0.01551204248924698
2005-07-05,0.01055770882439333,0.01551204248924698,0.01362848814201989,0.00188355434722709,0.0,0.00803439369746685,0.007502870355467515,2.6741486494265287,0.05774095617189401,0.01598918585904041,1,0.010498397913628388
2005-07-06,-0.005525194917598064,0.010498397913628388,-0.0036181131030579294,0.006252563088390062,0.0006277217221803966,0.006981891503490648,0.007557957488830578,2.692598127536089,0.041858573528379406,0.018449478109560324,2,0.014129778942598037
2005-07-07,0.0038176627450221545,0.014129778942598037,0.012621029370557757,0.0010102886071976513,0.0004984609648426286,0.007254247024714867,0.00782023813495597,2.7173402706858383,0.12247514287344607,0.024742143149749207,3,0.02113709101188821
2005-07-08,0.019420764649769495,0.02113709101188821,0.01825770722916875,0.0006650364128883979,0.00221434736983106,0.009996986496210303,0.00948379732049737,2.624668605984526,0.10136125684590613,-0.09267166470131238,4,0.008374894954170209
2005-07-11,0.009341412521018277,0.008374894954170209,0.007269606096699022,0.00020670768480091084,0.0008985811726702764,0.009193174081717636,0.008839366862799184,2.607861451357774,0.04942868721008464,-0.016807154626751863,0,0.010962675036340741
2005-07-12,0.005110738033480722,0.010962675036340741,0.005847614802274137,0.002927113214787447,0.0021879470192791572,0.009065424497969227,0.008455203065021765,2.692598127536089,0.09132084198216717,0.08473667617831504,1,0.006149509829081801
